priority_rank,priority_tier,priority_score,resource_id,resource_name,source_batch,batch_rank,impact_level,scientific_risk_level,link_role_status,access_documentation_status,risk_flag_count,review_dimension_count,review_focus,queue_status,evidence_url_used,reviewer,reviewed_at,decision,decision_notes
11,P1,87,DR0047,Copernicus Data Space Ecosystem,BR5,4,muito_alta,muito_alto,role_review_required,documentada,8,10,papéis dos links; missão e produto; processamento; endpoint; autenticação; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
12,P1,86,DR0019,Google Earth Engine Data Catalog,BR1,6,muito_alta,muito_alto,same_destination_pending_review,documentada,6,7,papéis dos links; agregador versus fonte; acesso; ferramentas; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
13,P1,85,DR0011,TerraBrasilis,BR1,4,muito_alta,muito_alto,same_destination_pending_review,documentada,5,7,papéis dos links; programa e produto; protocolos; temporalidade; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
14,P1,83,DR0013,speciesLink,BR2,1,muito_alta,muito_alto,separate_destinations,ausente,5,8,identidade; coleção e registro; acesso; licença; duplicação,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
15,P1,83,DR0022,WorldClim,BR3,2,muito_alta,muito_alto,separate_destinations,ausente,6,7,versão; período climatológico; cenário; resolução; ferramenta; DOI,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
16,P1,83,DR0050,ORNL Distributed Active Archive Center,BR5,6,muito_alta,muito_alto,separate_destinations,documentada,8,10,repositório versus busca; dataset; autenticação; processamento; DOI; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
17,P1,82,DR0010,MapBiomas Brasil,BR1,3,muito_alta,muito_alto,separate_destinations,ausente,5,7,coleção e produto; acesso; temporalidade; fonte; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
18,P2,81,DR0005,Centro Nacional de Monitoramento e Alertas de Desastres Naturais,BR1,1,muito_alta,muito_alto,separate_destinations,ausente,5,6,produto; acesso; licença; protocolos; temporalidade,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
19,P2,81,DR0042,AmeriFlux,BR3,6,muito_alta,muito_alto,separate_destinations,documentada,7,9,sítio e coleção; processamento; footprint; licença; sobreposição,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
20,P2,81,DR0006,PANORAMA — Infraestrutura de Dados Espaciais do CENSIPAM,BR4,5,alta,muito_alto,role_review_required,ausente,7,10,papéis dos links; módulo; produto; endpoints; atualização; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
21,P2,79,DR0034,iNaturalist,BR2,6,muito_alta,muito_alto,separate_destinations,documentada,6,8,registro e mídia; qualidade; sensibilidade; licença; duplicação,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
22,P2,79,DR0021,Copernicus Climate Data Store,BR3,1,muito_alta,muito_alto,separate_destinations,documentada,6,8,dataset e versão; cenário; acesso; resolução; licença; processamento,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
23,P2,79,DR0001,Plataforma Mineira para Adaptação às Mudanças Climáticas,BR4,1,alta,muito_alto,role_review_required,ausente,6,9,papéis dos links; indicador composto; método; atualização; acesso; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
24,P2,77,DR0012,Programa Queimadas / Banco de Dados de Queimadas,BR1,5,muito_alta,muito_alto,separate_destinations,documentada,5,7,semântica do produto; acesso; protocolos; período; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
25,P2,77,DR0027,eBird,BR2,3,muito_alta,muito_alto,separate_destinations,documentada,5,7,produto bruto versus modelado; esforço; acesso; sensibilidade; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
26,P2,77,DR0030,Data Observation Network for Earth,BR2,5,muito_alta,muito_alto,separate_destinations,documentada,5,7,federação; repositório membro; acesso; licença; duplicação,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
27,P2,76,DR0041,Botanical Information and Ecology Network,BR5,2,alta,muito_alto,separate_destinations,ausente,7,9,versão; origem; observação versus predição; ferramenta; licença; duplicação,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
28,P2,74,DR0007,UrbVerde,BR4,6,alta,alto,same_destination_pending_review,ausente,6,10,papéis dos links; indicador derivado; método; resolução; atualização; download,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
29,P3,72,DR0040,TRY Plant Trait Database,BR2,7,alta,muito_alto,separate_destinations,ausente,5,7,solicitação; contribuidores; unidades; taxonomia; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
30,P3,70,DR0035,Climate Data Guide,BR3,5,alta,alto,same_destination_pending_review,ausente,6,6,papéis dos links; guia versus provedor; versão; período; licença; DOI,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
31,P3,69,DR0044,Global Forest Watch,BR1,7,alta,muito_alto,separate_destinations,documentada,6,8,camada e provedor; acesso; temporalidade; resolução; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
32,P3,69,DR0029,National Ecological Observatory Network,BR3,3,alta,muito_alto,separate_destinations,documentada,7,7,produto; suporte; revisão; latência; período; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
33,P3,68,DR0028,Movebank,BR2,4,alta,muito_alto,separate_destinations,documentada,5,8,estudo; embargo; acesso; sensor; coordenadas; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
34,P3,67,DR0008,Portal Brasileiro de Dados Abertos,BR1,2,muito_alta,alto,separate_destinations,documentada,5,7,papel institucional; provedor original; acesso; formatos; licença,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
35,P3,66,DR0032,PANGAEA Data Publisher for Earth & Environmental Science,BR3,4,alta,alto,same_destination_pending_review,documentada,6,7,papéis dos links; depósito e versão; metadados versus arquivo; licença; DOI,aguardando_evidência_oficial,,,,manter_csv_atual,revisar documentação oficial antes de qualquer alteração canônica
