resource_id,data_product_types_proposed,data_product_types_confidence,visualization_types_proposed,visualization_types_confidence,data_sources_proposed,data_sources_confidence,temporal_resolution_proposed,temporal_resolution_confidence,access_conditions_proposed,access_conditions_confidence,bx_review_status,bx_evidence_basis,bx_evidence_url,bx_last_verified,bx_reviewer,bx_unresolved_fields,bx_notes
DR0011,mapas | alertas | estatísticas | dados vetoriais,desconhecida,mapa interativo | geovisualização | gráficos | dashboard,desconhecida,sensoriamento remoto | interpretação e modelagem INPE,desconhecida,diária a anual; varia,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0012,focos de calor | risco de fogo | mapas | séries,desconhecida,mapa interativo | geovisualização | gráficos | dashboard,desconhecida,satélites meteorológicos e de observação da Terra | modelos,desconhecida,subdiária | diária | mensal,desconhecida,acesso público; filtros e exportação pela interface; serviços OGC disponíveis,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0013,ocorrências | registros de coleção | mapas | indicadores,desconhecida,mapa interativo | busca tabular | gráficos,desconhecida,coleções científicas | universidades | museus,desconhecida,por registro,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0014,ocorrências | datasets | metadados | indicadores,desconhecida,mapa interativo | busca tabular | dashboard,desconhecida,coleções | pesquisa | monitoramento | órgãos públicos,desconhecida,varia conforme o dataset,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0015,mapas | camadas | descrições | dados temáticos,desconhecida,mapa interativo | geovisualização | busca tabular,desconhecida,levantamentos de campo | cartografia | sensoriamento remoto,desconhecida,não se aplica ou varia,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0016,cadastros | polígonos | tabelas | painéis,desconhecida,mapa interativo | dashboard | busca tabular,desconhecida,cadastros de órgãos gestores,desconhecida,atualização administrativa,desconhecida,download público no Portal Brasileiro de Dados Abertos,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0017,séries de estações | inventário de estações | mapas,desconhecida,mapa interativo | gráficos | busca tabular,desconhecida,estações fluviométricas | pluviométricas | qualidade da água,desconhecida,subdiária | diária | mensal,desconhecida,downloads públicos | API mediante solicitação de credenciais,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0018,séries de estações | tabelas,desconhecida,busca tabular | gráficos,desconhecida,estações meteorológicas convencionais e automáticas,desconhecida,horária | diária | mensal; varia,desconhecida,"e-mail confirmado | seleção de estação, período e variáveis | processamento em fila",desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0019,imagens | coleções raster e vetoriais | modelos derivados,desconhecida,mapa interativo | geovisualização | pré-visualização de imagens,desconhecida,agências espaciais | governos | pesquisa | provedores diversos,desconhecida,varia conforme o dataset,desconhecida,"projeto Google Cloud | registro e verificação de elegibilidade | gratuito para usos não comerciais elegíveis, sujeito a cotas",desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0020,subconjuntos raster | séries de pontos | estatísticas,desconhecida,mapa interativo | gráficos | pré-visualização de dados,desconhecida,MODIS | VIIRS | modelos e produtos NASA,desconhecida,diária a anual; varia,desconhecida,cadastro Earthdata,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0021,reanálises | projeções | observações | indicadores,desconhecida,mapa interativo | gráficos | busca tabular,desconhecida,satélites | estações | reanálises | modelos climáticos,desconhecida,horária a anual; varia,desconhecida,cadastro,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0022,climatologias | variáveis bioclimáticas | projeções,desconhecida,mapa interativo | busca tabular,desconhecida,estações | interpolação | modelos climáticos,desconhecida,mensal | climatológica,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0023,climatologias | variáveis bioclimáticas | projeções,desconhecida,mapa interativo | busca tabular,desconhecida,modelos climáticos | downscaling | topografia,desconhecida,diária | mensal | climatológica; varia,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0024,polígonos | pontos | atributos | indicadores,desconhecida,mapa interativo | dashboard | gráficos,desconhecida,governos | organizações internacionais | gestores de áreas,desconhecida,mensal,desconhecida,cadastro | termos de uso,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0025,avaliações | categorias de ameaça | mapas de distribuição | ameaças,desconhecida,mapa interativo | busca taxonômica | gráficos,desconhecida,literatura | especialistas | dados de ocorrência | modelos,desconhecida,irregular por espécie,desconhecida,aberto para consulta | cadastro e termos para dados,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0026,ocorrências | datasets | taxonomia | mapas,desconhecida,mapa interativo | busca tabular | gráficos,desconhecida,pesquisa | monitoramento | coleções | ciência cidadã,desconhecida,por registro,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0027,ocorrências | listas | abundância | tendências | mapas,desconhecida,mapa interativo | gráficos | dashboard,desconhecida,ciência cidadã | protocolos de observação,desconhecida,evento | semanal | anual; varia,desconhecida,cadastro | solicitação para dataset completo,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0028,trajetórias | telemetria | metadados | estudos publicados,desconhecida,mapa interativo | gráficos | aplicativos,desconhecida,GPS | satélite | rádio | sensores biologging,desconhecida,segundos a dias; varia,desconhecida,cadastro | aberto ou restrito por estudo,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0029,séries temporais | amostras | imagens aéreas | produtos derivados,desconhecida,mapa interativo | gráficos | pré-visualização de dados,desconhecida,campo | laboratório | sensores | aeronaves,desconhecida,minutos a anual; varia,desconhecida,consulta pública | conta obrigatória para downloads | token para API e neonUtilities,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0030,datasets | metadados | pacotes de pesquisa,desconhecida,mapa interativo | busca tabular | pré-visualização de metadados,desconhecida,repositórios membros | pesquisadores | instituições,desconhecida,varia conforme o dataset,desconhecida,aberto ou restrito conforme o dataset,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0031,datasets | metadados | pacotes de pesquisa,desconhecida,mapa interativo | busca tabular | pré-visualização de metadados,desconhecida,pesquisadores | projetos | redes ecológicas,desconhecida,varia conforme o dataset,desconhecida,aberto ou restrito conforme o dataset,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0032,datasets | tabelas | séries | metadados com DOI,desconhecida,mapa interativo | busca tabular | pré-visualização de dados,desconhecida,pesquisa | campo | laboratório | modelos,desconhecida,varia conforme o dataset,desconhecida,aberto; alguns embargos,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0033,datasets | arquivos suplementares | metadados com DOI,desconhecida,busca tabular | pré-visualização de arquivos,desconhecida,pesquisadores | publicações científicas,desconhecida,varia conforme o dataset,desconhecida,aberto após publicação,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0034,observações | imagens | taxonomia | projetos,desconhecida,mapa interativo | gráficos | busca taxonômica,desconhecida,ciência cidadã | imagens | identificação comunitária,desconhecida,por observação,desconhecida,aberto | cadastro para algumas operações,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0035,descrições | avaliações especializadas | links para datasets,desconhecida,busca por categorias | páginas de síntese | gráficos incorporados,desconhecida,literatura | especialistas | provedores de dados,desconhecida,varia conforme o dataset descrito,desconhecida,aberto para consulta; dados ficam nos provedores,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0036,traits | medições | metadados | tabelas,desconhecida,busca tabular | interface de filtragem,desconhecida,campo | laboratório | literatura,desconhecida,por observação ou campanha,desconhecida,formulário de solicitação | token enviado por e-mail e válido por 24 horas,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0037,mapas raster | perfis por profundidade | incerteza,desconhecida,mapa interativo | geovisualização,desconhecida,perfis de solo | covariáveis ambientais | aprendizado de máquina,desconhecida,estático por versão,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0038,perfis | horizontes | propriedades laboratoriais | pontos,desconhecida,mapa interativo | busca tabular,desconhecida,levantamentos pedológicos | campo | laboratório,desconhecida,por campanha ou perfil,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0039,software de publicação | repositórios distribuídos | metadados | pacotes Darwin Core,desconhecida,interface administrativa | pré-visualização de registros,desconhecida,instituições publicadoras,desconhecida,varia conforme o dataset,desconhecida,software aberto | acesso aos dados depende da instalação e do dataset,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0040,traits | espécies | metadados de datasets,desconhecida,busca tabular | pré-visualização de dados,desconhecida,campo | laboratório | literatura | colaboradores,desconhecida,por observação,desconhecida,cadastro | solicitação | condições por dataset,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0041,ocorrências | parcelas | traits | taxonomia,desconhecida,mapa interativo | gráficos | busca tabular,desconhecida,herbários | parcelas | literatura | bases parceiras,desconhecida,por registro,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0042,fluxos turbulentos | meteorologia | dados processados,desconhecida,mapa interativo | gráficos | busca tabular,desconhecida,torres eddy covariance | sensores meteorológicos,desconhecida,30 minutos | diária | anual; varia,desconhecida,cadastro | termos de uso por dataset,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0043,fluxos | meteorologia | produtos harmonizados,desconhecida,mapa interativo | gráficos | busca tabular,desconhecida,eddy covariance | sensores meteorológicos | processamento harmonizado,desconhecida,30 minutos | diária | mensal | anual,desconhecida,cadastro | licenças por coleção,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0044,mapas | alertas | estatísticas | camadas,desconhecida,mapa interativo | geovisualização | gráficos | dashboard,desconhecida,satélites | governos | pesquisa | modelos,desconhecida,quase em tempo real a anual,desconhecida,aberto | cadastro para alguns serviços,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0045,mapas | séries | gráficos | indicadores,desconhecida,mapa interativo | gráficos | dashboard,desconhecida,inventários | modelos | observações | Global Carbon Project,desconhecida,anual; alguns produtos mensais,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0046,grades de emissões | tabelas nacionais | séries temporais,desconhecida,mapa interativo | gráficos | tabelas,desconhecida,estatísticas de atividade | fatores de emissão | modelos,desconhecida,anual | mensal | horária em produtos selecionados,desconhecida,aberto,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0047,imagens de satélite | mosaicos | produtos processados,desconhecida,mapa interativo | geovisualização | pré-visualização de imagens | processamento em nuvem,desconhecida,satélites Sentinel | missões contribuintes,desconhecida,dias a semanas; varia por missão,desconhecida,cadastro,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0048,simulações | projeções | reanálises selecionadas,desconhecida,busca tabular | gráficos | pré-visualização de metadados,desconhecida,modelos climáticos e do sistema terrestre,desconhecida,subdiária a anual; varia,desconhecida,aberto | cadastro em alguns nós,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0049,metadados | séries ecológicas | informações de sítios,desconhecida,mapa interativo | busca tabular | gráficos,desconhecida,campo | sensores | laboratório | monitoramento,desconhecida,varia por variável e sítio,desconhecida,"aberto, solicitação ou restrito conforme o sítio",desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0050,datasets | mapas | séries | produtos de missões,desconhecida,mapa interativo | geovisualização | gráficos | pré-visualização de dados,desconhecida,satélites | campo | modelos | campanhas NASA,desconhecida,varia conforme o dataset,desconhecida,consulta pública de metadados | Earthdata Login obrigatório para downloads e pedidos,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
DR0051,base bibliográfica | rede de citações | rankings | mapa interativo | metodologia,desconhecida,mapa interativo | rankings | gráficos | rede de citações,desconhecida,referências dos relatórios do IPCC | 22 periódicos climáticos | OpenAlex | Google Scholar,desconhecida,não se aplica,desconhecida,consulta pública aos produtos | base integral restrita | colaboração mediante proposta,desconhecida,carregado_do_csv,canonical_csv,,,,data_product_types | visualization_types | data_sources | temporal_resolution | access_conditions,Valor copiado do CSV canônico 0.7.0; requer verificação externa por dimensão.
