resource_id,resource_name,acronym,resource_type,description,homepage_url,thematic_domains,data_product_types,data_formats,geographic_coverage,spatial_resolution,temporal_coverage,temporal_resolution,data_sources,free_download,access_conditions,api_available,license,institutional_status,owner_or_manager,last_verified,notes
DR0017,Sistema Nacional de Informações sobre Recursos Hídricos / HidroWeb,SNIRH / HidroWeb,information_system,Acesso a estações e séries hidrometeorológicas brasileiras.,https://www.snirh.gov.br/hidroweb/,hidrologia | clima | recursos hídricos,séries de estações | inventário de estações | mapas,CSV | TXT | serviços web; varia,nacional — Brasil,ponto de estação e bacias,histórica ao presente; varia por estação,subdiária | diária | mensal,estações fluviométricas | pluviométricas | qualidade da água,sim,aberto,sim,dados públicos da ANA,público,Agência Nacional de Águas e Saneamento Básico,2026-07-18,"Verificar falhas, consistência e período efetivo de cada estação."
DR0018,Banco de Dados Meteorológicos do INMET,BDMEP,database,Séries históricas observacionais das estações meteorológicas do INMET.,https://bdmep.inmet.gov.br/,clima | meteorologia,séries de estações | tabelas,CSV,nacional — Brasil,ponto de estação,varia por estação,horária | diária | mensal; varia,estações meteorológicas convencionais e automáticas,sim,cadastro,não,termos do INMET,público,INMET,2026-07-18,Cobertura e completude variam entre estações e períodos.
DR0019,Google Earth Engine Data Catalog,GEE,platform,Catálogo e ambiente de processamento em nuvem para dados geoespaciais.,https://developers.google.com/earth-engine/datasets,sensoriamento remoto | clima | vegetação | solo | água,imagens | coleções raster e vetoriais | modelos derivados,assets Earth Engine | exportação GeoTIFF | CSV | TFRecord,global,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,agências espaciais | governos | pesquisa | provedores diversos,parcial,cadastro | uso não comercial conforme elegibilidade,sim,varia conforme o dataset,privado,Google e provedores dos datasets,2026-07-18,É plataforma e catálogo; não é a fonte original da maioria dos dados.
DR0020,Application for Extracting and Exploring Analysis Ready Samples,AppEEARS,data_service,"Serviço para extrair subconjuntos espaciais, temporais e por camada de produtos terrestres NASA.",https://appeears.earthdatacloud.nasa.gov/,sensoriamento remoto | vegetação | clima | superfície terrestre,subconjuntos raster | séries de pontos | estatísticas,GeoTIFF | NetCDF | CSV,global,varia conforme o produto NASA,varia conforme o produto,diária a anual; varia,MODIS | VIIRS | modelos e produtos NASA,sim,cadastro Earthdata,sim,política de dados abertos NASA,público,NASA LP DAAC,2026-07-18,Serviço de extração; citar também o produto NASA original utilizado.
DR0021,Copernicus Climate Data Store,CDS,data_service,"Catálogo e serviço de acesso a reanálises, observações e projeções climáticas.",https://cds.climate.copernicus.eu/,clima | mudanças climáticas | atmosfera | solo,reanálises | projeções | observações | indicadores,NetCDF | GRIB | ZIP; varia,global,varia conforme o dataset,"histórica, presente e projeções",horária a anual; varia,satélites | estações | reanálises | modelos climáticos,sim,cadastro,sim,licença Copernicus e licenças específicas,público internacional,Copernicus Climate Change Service / ECMWF,2026-07-18,"ERA5 é um dataset dentro deste serviço, não sinônimo do catálogo inteiro."
DR0022,WorldClim,WorldClim,database,Camadas climáticas globais de alta resolução para condições históricas e futuras.,https://www.worldclim.org/,clima | mudanças climáticas | bioclimatologia,climatologias | variáveis bioclimáticas | projeções,GeoTIFF,global terrestre,30 segundos de arco a 10 minutos; depende da versão,períodos climatológicos históricos e futuros,mensal | climatológica,estações | interpolação | modelos climáticos,sim,aberto,não,licença WorldClim; consultar versão,acadêmico,"WorldClim / University of California, Davis",2026-07-18,Não tratar climatologia de longo prazo como observação meteorológica diária.
DR0023,Climatologies at High Resolution for the Earth's Land Surface Areas,CHELSA,database,Climatologias e projeções climáticas globais com detalhamento topográfico.,https://chelsa-climate.org/,clima | mudanças climáticas | bioclimatologia,climatologias | variáveis bioclimáticas | projeções,GeoTIFF | NetCDF; varia,global terrestre,aproximadamente 1 km; varia conforme a versão,histórica e projeções,diária | mensal | climatológica; varia,modelos climáticos | downscaling | topografia,sim,aberto,não,licença específica por versão,acadêmico,CHELSA Climate,2026-07-18,"Versão, período e cenário climático devem ser registrados no uso."
DR0024,Protected Planet / World Database on Protected Areas,Protected Planet / WDPA,database,Base global de áreas protegidas e outras medidas de conservação baseadas em área.,https://www.protectedplanet.net/,áreas protegidas | conservação | biodiversidade,polígonos | pontos | atributos | indicadores,Shapefile | CSV | File Geodatabase,global,geometrias vetoriais; precisão variável,situação corrente e versões periódicas,mensal,governos | organizações internacionais | gestores de áreas,sim,cadastro | termos de uso,desconhecido,termos de uso UNEP-WCMC,consórcio internacional,UNEP-WCMC / IUCN,2026-07-18,Redistribuição possui condições específicas; registrar a versão mensal utilizada.
DR0025,IUCN Red List of Threatened Species,IUCN Red List,database,Avaliações globais do risco de extinção de espécies.,https://www.iucnredlist.org/,biodiversidade | espécies | conservação,avaliações | categorias de ameaça | mapas de distribuição | ameaças,CSV | JSON | Shapefile; depende do acesso,global,espécies e polígonos; precisão variável,avaliações históricas e vigentes,irregular por espécie,literatura | especialistas | dados de ocorrência | modelos,parcial,aberto para consulta | cadastro e termos para dados,sim,termos de uso IUCN Red List,consórcio internacional,IUCN,2026-07-18,API e downloads podem ter condições; categoria de ameaça deve ser vinculada à versão/data.
DR0026,Ocean Biodiversity Information System,OBIS,data_service,Infraestrutura global de dados de ocorrência de biodiversidade marinha.,https://obis.org/,biodiversidade | espécies | oceanos,ocorrências | datasets | taxonomia | mapas,Darwin Core | CSV | JSON,global marinho,ponto de ocorrência; varia,histórica ao presente,por registro,pesquisa | monitoramento | coleções | ciência cidadã,sim,aberto,sim,varia conforme o dataset,consórcio internacional,UNESCO-IOC / OBIS,2026-07-18,Verificar licença e qualidade no nível do dataset.
DR0027,eBird,eBird,database,"Base global de listas de observação, distribuição e abundância de aves.",https://science.ebird.org/,biodiversidade | aves | ciência cidadã,ocorrências | listas | abundância | tendências | mapas,CSV | pacote EBD | JSON via API,global,local de observação e produtos em grade; varia,histórica ao presente,evento | semanal | anual; varia,ciência cidadã | protocolos de observação,parcial,cadastro | solicitação para dataset completo,sim,termos de uso eBird,acadêmico,Cornell Lab of Ornithology,2026-07-18,Distinguir dados brutos de listas dos produtos modelados de ciência.
DR0028,Movebank,Movebank,repository,Repositório e plataforma para dados de rastreamento animal e biologging.,https://www.movebank.org/,biodiversidade | movimento animal | comportamento,trajetórias | telemetria | metadados | estudos publicados,CSV | KML | JSON; varia,global,pontos de rastreamento; depende do sensor,varia por estudo,segundos a dias; varia,GPS | satélite | rádio | sensores biologging,parcial,cadastro | aberto ou restrito por estudo,sim,licença definida por estudo,acadêmico,Max Planck Institute of Animal Behavior,2026-07-18,Disponibilidade e licença são determinadas pelos responsáveis de cada estudo.
DR0029,National Ecological Observatory Network,NEON,monitoring_system,"Observatório ecológico continental com dados padronizados de organismos, solo, água, atmosfera e sensoriamento remoto.",https://www.neonscience.org/data-samples,ecologia | biodiversidade | solo | água | atmosfera | vegetação,séries temporais | amostras | imagens aéreas | produtos derivados,CSV | HDF5 | GeoTIFF | LAZ | formatos variados,continental — Estados Unidos,"ponto, parcela, torre e imagem; varia",2013 ao presente; varia,minutos a anual; varia,campo | laboratório | sensores | aeronaves,sim,aberto,sim,CC0 ou licença indicada por produto,público-acadêmico,Battelle / National Science Foundation,2026-07-18,"Excelente referência para ensino de dados ecológicos padronizados, mas cobertura territorial é dos EUA."
DR0030,DataONE,DataONE,repository,Rede federada para descoberta e preservação de dados ambientais e de ciências da Terra.,https://www.dataone.org/,ecologia | biodiversidade | clima | ambiente,datasets | metadados | pacotes de pesquisa,CSV | XML | NetCDF | formatos variados,global,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,repositórios membros | pesquisadores | instituições,parcial,aberto ou restrito conforme o dataset,sim,varia conforme o dataset,consórcio,DataONE e repositórios membros,2026-07-18,DataONE agrega metadados e acesso; a instituição depositária pode ser a fonte efetiva.
DR0031,Knowledge Network for Biocomplexity,KNB,repository,Repositório de dados ecológicos e ambientais com metadados estruturados.,https://knb.ecoinformatics.org/,ecologia | biodiversidade | ambiente,datasets | metadados | pacotes de pesquisa,CSV | EML | formatos variados,global,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,pesquisadores | projetos | redes ecológicas,parcial,aberto ou restrito conforme o dataset,sim,varia conforme o dataset,acadêmico,National Center for Ecological Analysis and Synthesis,2026-07-18,Membro da rede DataONE; evitar duplicar o mesmo dataset obtido pelos dois catálogos.
DR0032,PANGAEA Data Publisher for Earth & Environmental Science,PANGAEA,repository,Repositório para publicação e preservação de dados georreferenciados das ciências da Terra e ambientais.,https://www.pangaea.de/,ecologia | clima | oceanos | solo | atmosfera,datasets | tabelas | séries | metadados com DOI,tabular | NetCDF | formatos variados,global,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,pesquisa | campo | laboratório | modelos,sim,aberto; alguns embargos,sim,"licença por dataset, frequentemente Creative Commons",acadêmico,Alfred Wegener Institute / MARUM,2026-07-18,"Registrar DOI, versão e licença do dataset específico."
DR0033,Dryad,Dryad,repository,Repositório de dados de pesquisa associados a publicações científicas.,https://datadryad.org/,ecologia | evolução | biodiversidade | multidisciplinar,datasets | arquivos suplementares | metadados com DOI,formatos variados,global,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,pesquisadores | publicações científicas,sim,aberto; possível embargo temporário,sim,"CC0 para dados, salvo indicação",acadêmico sem fins lucrativos,Dryad,2026-07-18,"Cobrança normalmente se aplica ao depósito, não ao download."
DR0034,iNaturalist,iNaturalist,platform,Plataforma global de ciência cidadã para observações de organismos e identificação colaborativa.,https://www.inaturalist.org/,biodiversidade | espécies | ciência cidadã,observações | imagens | taxonomia | projetos,CSV | JSON via API,global,ponto de observação; coordenadas podem ser obscurecidas,"2008 ao presente, com registros históricos",por observação,ciência cidadã | imagens | identificação comunitária,sim,aberto | cadastro para algumas operações,sim,licença por observação e mídia,organização sem fins lucrativos,iNaturalist,2026-07-18,"Licenças de observação, fotografia e som podem ser diferentes."
DR0035,Climate Data Guide,Climate Data Guide,catalog,Guia curado para avaliação e seleção de conjuntos de dados climáticos.,https://climatedataguide.ucar.edu/,clima | atmosfera | oceanos,descrições | avaliações especializadas | links para datasets,metadados e páginas web,global,varia conforme o dataset descrito,varia conforme o dataset descrito,varia conforme o dataset descrito,literatura | especialistas | provedores de dados,não se aplica,aberto para consulta; dados ficam nos provedores,não,conteúdo do guia; licenças dos datasets variam,acadêmico,NCAR / UCAR,2026-07-18,"É guia e catálogo, não hospeda necessariamente os dados."
DR0036,Fine-Root Ecology Database,FRED,database,Base de características e observações de raízes finas para estudos ecológicos.,https://roots.ornl.gov/,solo | vegetação | raízes | carbono | ecologia funcional,traits | medições | metadados | tabelas,CSV | formatos tabulares,global,"ponto, parcela ou estudo; varia",varia conforme o estudo,por observação ou campanha,campo | laboratório | literatura,sim,aberto | cadastro pode ser necessário,desconhecido,termos do ORNL DAAC / dataset,público-acadêmico,Oak Ridge National Laboratory,2026-07-18,O link DIY da aba legada parece ser ferramenta associada; o recurso principal é FRED.
DR0037,SoilGrids,SoilGrids,data_service,Mapas globais de propriedades do solo produzidos por modelagem digital.,https://soilgrids.org/,solo | carbono do solo,mapas raster | perfis por profundidade | incerteza,GeoTIFF | VRT | WCS | mapas web,global terrestre,250 m na versão corrente amplamente usada,condições representativas do acervo de perfis usado na modelagem,estático por versão,perfis de solo | covariáveis ambientais | aprendizado de máquina,sim,aberto,sim,CC BY 4.0,organização sem fins lucrativos,ISRIC — World Soil Information,2026-07-18,"Produto modelado, não observação direta em cada pixel; usar as camadas de incerteza."
DR0038,World Soil Information Service,WoSIS,database,Base global harmonizada de perfis e propriedades de solo.,https://www.isric.org/explore/wosis,solo | carbono do solo,perfis | horizontes | propriedades laboratoriais | pontos,CSV | WFS | formatos geoespaciais,global terrestre,ponto de perfil,histórica ao presente; varia por perfil,por campanha ou perfil,levantamentos pedológicos | campo | laboratório,sim,aberto,sim,CC BY 4.0 ou termos indicados,organização sem fins lucrativos,ISRIC — World Soil Information,2026-07-18,WoSIS contém observações de perfis; SoilGrids contém predições espaciais derivadas.
DR0039,Global Biodiversity Information Facility Integrated Publishing Toolkit,GBIF IPT,data_service,Software e serviço de publicação de datasets de biodiversidade em padrões interoperáveis.,https://www.gbif.org/ipt,biodiversidade | metadados,datasets publicados | metadados | arquivos Darwin Core,Darwin Core Archive | EML,global,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,instituições publicadoras,não se aplica,depende da instalação e do dataset,sim,software Apache 2.0; dados variam,consórcio,GBIF e instituições hospedeiras,2026-07-18,"Incluído como infraestrutura de gestão/publicação, não como base agregadora de ocorrências."
DR0040,TRY Plant Trait Database,TRY,database,Base global de características funcionais de plantas reunidas de múltiplas fontes.,https://www.try-db.org/,vegetação | plantas | ecologia funcional | biodiversidade,traits | espécies | metadados de datasets,formatos tabulares,global,"indivíduo, população ou estudo; varia",varia conforme o dataset,por observação,campo | laboratório | literatura | colaboradores,parcial,cadastro | solicitação | condições por dataset,não,termos TRY e dos contribuidores,consórcio acadêmico,TRY Consortium / Max Planck Institute for Biogeochemistry,2026-07-18,Acesso não é totalmente aberto; uso e redistribuição dependem das condições dos contribuidores.
DR0041,Botanical Information and Ecology Network,BIEN,database,"Base integrada de ocorrências, inventários de vegetação, taxonomia e atributos de plantas.",https://bien.nceas.ucsb.edu/bien/,vegetação | plantas | biodiversidade | ecologia,ocorrências | parcelas | traits | taxonomia,CSV | acesso por pacote R e banco,Américas e cobertura global parcial,"ponto, parcela e espécie; varia",histórica ao presente; varia,por registro,herbários | parcelas | literatura | bases parceiras,sim,aberto,sim,varia conforme a fonte,consórcio acadêmico,BIEN Working Group / NCEAS,2026-07-18,Atribuição e restrições podem depender da fonte originalmente integrada.
DR0042,AmeriFlux,AmeriFlux,monitoring_system,"Rede de torres de fluxos de carbono, água e energia nas Américas.",https://ameriflux.lbl.gov/data/,carbono | clima | ecossistemas | fluxos,fluxos turbulentos | meteorologia | dados processados,CSV | ZIP | formatos padronizados,continental — Américas,ponto de torre e área de influência,1996 ao presente; varia por sítio,30 minutos | diária | anual; varia,torres eddy covariance | sensores meteorológicos,sim,cadastro | termos de uso por dataset,sim,CC BY 4.0 ou política indicada,consórcio acadêmico,AmeriFlux Management Project / Lawrence Berkeley National Laboratory,2026-07-18,"Comparações exigem considerar processamento, cobertura temporal e área de influência de cada torre."
DR0043,FLUXNET,FLUXNET,database,Rede global harmonizada de medições de fluxos entre ecossistemas e atmosfera.,https://fluxnet.org/data/,carbono | clima | ecossistemas | água,fluxos | meteorologia | produtos harmonizados,CSV | ZIP,global,ponto de torre e área de influência,varia por coleção e sítio,30 minutos | diária | mensal | anual,eddy covariance | sensores meteorológicos | processamento harmonizado,parcial,cadastro | licenças por coleção,não,licença por coleção ou sítio,consórcio acadêmico,FLUXNET community,2026-07-18,FLUXNET integra redes como AmeriFlux; evitar dupla contagem de sítios.
DR0044,Global Forest Watch,GFW,platform,Plataforma de monitoramento e análise de florestas com dados de múltiplas fontes.,https://www.globalforestwatch.org/,florestas | vegetação | desmatamento | fogo | carbono,mapas | alertas | estatísticas | camadas,GeoTIFF | Shapefile | CSV | tiles | API; varia,global,varia conforme a camada,varia conforme a camada,quase em tempo real a anual,satélites | governos | pesquisa | modelos,sim,aberto | cadastro para alguns serviços,sim,varia conforme o provedor da camada,organização sem fins lucrativos,World Resources Institute e parceiros,2026-07-18,É plataforma agregadora; citar o provedor e produto original da camada utilizada.
DR0045,Global Carbon Atlas,Global Carbon Atlas,platform,Plataforma de visualização e exploração de fluxos e emissões globais de carbono.,https://globalcarbonatlas.org/,carbono | emissões | mudanças climáticas,mapas | séries | gráficos | indicadores,CSV | visualização web; varia,global e nacional,"nacional, regional e grades; varia",histórica ao presente; varia,anual; alguns produtos mensais,inventários | modelos | observações | Global Carbon Project,sim,aberto,desconhecido,termos e fontes indicados por produto,consórcio acadêmico,Global Carbon Project,2026-07-18,"Verificar fonte, versão e metodologia do produto específico visualizado."
DR0046,EDGAR — Emissions Database for Global Atmospheric Research,EDGAR,database,Inventário global espacializado de emissões antropogênicas de gases de efeito estufa e poluentes.,https://edgar.jrc.ec.europa.eu/,emissões | carbono | atmosfera | mudanças climáticas,grades de emissões | tabelas nacionais | séries temporais,NetCDF | XLSX | CSV | mapas,global,"tipicamente 0,1 grau; varia conforme a versão",1970 ao presente; varia conforme a versão,anual | mensal em produtos selecionados,estatísticas de atividade | fatores de emissão | modelos,sim,aberto,desconhecido,licença da Comissão Europeia; consultar versão,público internacional,European Commission Joint Research Centre,2026-07-18,Versão e setor de emissão devem ser registrados para reprodutibilidade.
DR0047,Copernicus Data Space Ecosystem,CDSE,data_service,"Serviço de descoberta, acesso e processamento de dados Sentinel e outras missões Copernicus.",https://dataspace.copernicus.eu/,sensoriamento remoto | vegetação | clima | água | solo,imagens de satélite | mosaicos | produtos processados,SAFE | GeoTIFF | JPEG2000 | NetCDF | formatos variados,global,10 m a quilômetros; depende do sensor e produto,2014 ao presente; varia por missão,dias a semanas; varia por missão,satélites Sentinel | missões contribuintes,sim,cadastro,sim,Copernicus Data and Information Policy,público internacional,European Commission / ESA e operadores,2026-07-18,"Registrar missão, nível de processamento, órbita, resolução e data da cena."
DR0048,Earth System Grid Federation,ESGF,data_service,"Infraestrutura federada para distribuição de modelos climáticos, incluindo CMIP.",https://esgf.llnl.gov/,clima | mudanças climáticas | modelos do sistema terrestre,simulações | projeções | reanálises selecionadas,NetCDF,global,varia conforme o modelo,histórico e cenários futuros,subdiária a anual; varia,modelos climáticos e do sistema terrestre,sim,aberto | cadastro em alguns nós,sim,varia conforme o projeto e dataset,consórcio internacional,ESGF partners / DOE,2026-07-18,"CMIP6 é uma coleção distribuída na ESGF; registrar modelo, experimento, membro e grade."
DR0049,International Long Term Ecological Research Network,ILTER,information_system,Rede internacional de sítios e projetos de pesquisa ecológica de longa duração.,https://www.ilter.network/,ecologia | biodiversidade | clima | ecossistemas,metadados | séries ecológicas | informações de sítios,formatos variados,global,"sítio, parcela e região; varia",longa duração; varia por sítio,varia por variável e sítio,campo | sensores | laboratório | monitoramento,parcial,"aberto, solicitação ou restrito conforme o sítio",desconhecido,varia conforme o dataset,consórcio acadêmico,ILTER e redes nacionais,2026-07-18,A rede facilita descoberta e integração; disponibilidade efetiva depende do sítio ou repositório.
